text,label,intent,is_seed,text_clean
"das isch eifach nur nervig, ehrlich",negativ,beschwerde,True,das isch eifach nur nervig ehrlich
"jedes mol läuft öppis schief, ich cha nüm",negativ,beschwerde,True,jedes mol laeuft oeppis schief ich chan nuem
ich ha langsam schnauze voll vo dem chaos,negativ,beschwerde,True,ich ha langsam schnauze voll vo dem chaos
ich werd no wahnsinnig mit dem ganze hin und her,negativ,beschwerde,True,ich werd no wahnsinnig mit dem ganze hin und her
alles zieht sich so unglaublich i d länge,negativ,beschwerde,True,alles zieht sich so unglaublich i d laenge
"es chunt mer vor, als nähm das niemert ernst",negativ,beschwerde,True,es chunt mer vor als naehm das niemert ernst
ich bi so müed vo dem ständige stress,negativ,beschwerde,True,ich bi so mueed vo dem staendige stress
"nüt funktioniert, wie s eigentlich sött",negativ,beschwerde,True,nuet funktioniert wie s eigentlich soett
jedes problem macht grad no meh problem,negativ,beschwerde,True,jedes problem macht grad no meh problem
"ich ha s gefühl, kei mensch denkt das richtig dür",negativ,beschwerde,True,ich ha s gefuehl kei mensch denkt das richtig duer
ich bi gopfertami so enttäuscht,negativ,beschwerde,True,ich bi gopfertami so enttaeuscht
"ich würd mir eifach mol öppis wünschen, wo klappt",negativ,beschwerde,True,ich wuerd mir eifach mol oeppis wuenschen wo klappt
immer mues irgendöppis daneben gah,negativ,beschwerde,True,immer mues irgendoeppis daneben gah
es regt mi nur no uf,negativ,beschwerde,True,es regt mi nur no uf
mini geduld isch definitiv am end,negativ,beschwerde,True,mini geduld isch definitiv am end
ich cha das theater nüm bsorge,negativ,beschwerde,True,ich chan das theater nuem bsorge
ich ha kei nerv meh für so unorganisierts zeug,negativ,beschwerde,True,ich ha kei nerv meh fuer so unorganisierts zeug
es chunnt mer vor wie pure inkompetenz,negativ,beschwerde,True,es chunnt mer vor wie pure inkompetenz
jedes mol müemer vo vorne aafange,negativ,beschwerde,True,jedes mol mueemer vo vorne aafange
"ich bi scho wieder am motze, aber s isch würkli müehsam",negativ,beschwerde,True,ich bi scho wieder am motze aber s isch wuerkli mueehsam
wieso isch das immer so kompliziert?,negativ,beschwerde,True,wieso isch das immer so kompliziert
"ich ha s gfühl, d sache werde eher schlechter als besser",negativ,beschwerde,True,ich ha s gfuehl d sache werde eher schlechter als besser
d ganze situation isch nur frustrierend,negativ,beschwerde,True,d ganze situation isch nur frustrierend
ich mues mi jedes mol über öppis anders ufrege,negativ,beschwerde,True,ich mues mi jedes mol ueber oeppis anders ufrege
chönt mer das nöd eifach mol gscheit mache?,negativ,beschwerde,True,choent mer das ned eifach mol gscheit mache
"ich verstah nöd, wieso das so schwierig isch",negativ,beschwerde,True,ich verstah noed wieso das so schwierig isch
"ich glaub langsam nüm, dass das jemals richtig lauft",negativ,beschwerde,True,ich glaub langsam nuem dass das jemals richtig lauft
jedes update macht s eher schlimmer,negativ,beschwerde,True,jedes update macht s eher schlimmer
"immer wenn ich hoffig ha, passiert öppis blöds",negativ,beschwerde,True,immer wenn ich hoffig ha passiert oeppis bloeds
ich bi eifach nur no genervt vo dem,negativ,beschwerde,True,ich bi eifach nur no genervt vo dem
"ich weiss nöd, wie lang ich das no pack",negativ,frust,True,ich weiss noed wie lang ich das no pack
ich fühl mi grad komplett fertig,negativ,frust,True,ich fuehl mi grad komplett fertig
ich cha mi nüm motiviere für öppis,negativ,frust,True,ich chan mi nuem motiviere fuer oeppis
alles isch mir grad z viel,negativ,frust,True,alles isch mir grad z viel
ich würd am liebschte alles hinschmeisse,negativ,frust,True,ich wuerd am liebschte alles hinschmeisse
"ich ha s gfühl, ich dreh mi im churzschlus",negativ,frust,True,ich ha s gfuehl ich dreh mi im churzschlus
ich ha null energie im momänt,negativ,frust,True,ich ha null energie im momaent
"ich kämpf und kämpf, aber es bringt nüt",negativ,frust,True,ich kaempf und kaempf aber es bringt nuet
"ich weiss nöd, wo ich ahfange söll",negativ,frust,True,ich weiss noed wo ich ahfange soell
ich fühl mi wie blockiert,negativ,frust,True,ich fuehl mi wie blockiert
es isch alles so schwer grad,negativ,frust,True,es isch alles so schwer grad
ich bi mega dünnhuutit im momänt,negativ,frust,True,ich bi mega duennhuutit im momaent
"ich ha s gfühl, alles lauft gegen mi",negativ,frust,True,ich ha s gfuehl alles lauft gegen mi
nüt gelingt mir richtig,negativ,frust,True,nuet gelingt mir richtig
"ich würd gärn pause mache, aber s gaht nöd",negativ,frust,True,ich wuerd gaern pause mache aber s gaht ned
"ich ha kei plan meh, wie wiiter",negativ,frust,True,ich ha kei plan meh wie wiiter
ich wott eifach chli ruhe ha,negativ,frust,True,ich wott eifach chli ruhe ha
ich fühl mi überrollt vo allem,negativ,frust,True,ich fuehl mi ueberrollt vo allem
"ich cha nüm so tuen, als wär alles easy",negativ,frust,True,ich chan nuem so tuen als waer alles easy
ich bi voll im kopfchaos,negativ,frust,True,ich bi voll im kopfchaos
"ich wünschte, ich chönnt endlich abschalte",negativ,frust,True,ich wuenschte ich choennt endlich abschalte
"ich weiss nöd, wieso ich grad so struggl",negativ,frust,True,ich weiss noed wieso ich grad so struggl
"ich würd gern positiv bliibe, aber s goht nöd",negativ,frust,True,ich wuerd gern positiv bliibe aber s goht ned
ich fühl mi mega lost im momänt,negativ,frust,True,ich fuehl mi mega lost im momaent
jede chliini sache stresst mi übertriebe,negativ,frust,True,jede chliini sache stresst mi uebertriebe
"ich ha s gfühl, ich mach nüt richtig",negativ,frust,True,ich ha s gfuehl ich mach nuet richtig
ich würd so gärn es reset drücke,negativ,frust,True,ich wuerd so gaern es reset druecke
ich fühl mi brutal überfodert,negativ,frust,True,ich fuehl mi brutal ueberfodert
ich ha mini emotionen nüm im griff,negativ,frust,True,ich ha mini emotionen nuem im griff
ich bruch dringend chli entlastig,negativ,frust,True,ich bruch dringend chli entlastig
"chasch mir bitte erklärä, wie das goht? ich chum nöd drus",negativ,hilfe_bitten,True,chasch mir bitte erklaerae wie das goht ich chum ned drus
"ich bruch öpper, wo mir das Schritt für Schritt zeigt",negativ,hilfe_bitten,True,ich bruch oepper wo mir das schritt fuer schritt zeigt
"ich bi komplett lost, chasch mir helfe?",negativ,hilfe_bitten,True,ich bi komplett lost chasch mir helfe
"sorry, aber ich verstand das gar nöd",negativ,hilfe_bitten,True,sorry aber ich verstand das gar ned
"hesch chli zit, mir das kurz z erkläre?",negativ,hilfe_bitten,True,hesch chli zit mir das kurz z erklaere
"ich weiss nöd, wo ich söll aafange",negativ,hilfe_bitten,True,ich weiss noed wo ich soell aafange
"chasch mir en tipp geh, wie ich das löse?",negativ,hilfe_bitten,True,chasch mir en tipp geh wie ich das loese
"ich versteh s nöd ganz, chasch das anders usdrücke?",negativ,hilfe_bitten,True,ich versteh s ned ganz chasch das anders usdruecke
ich bruuch e chli guidance,negativ,hilfe_bitten,True,ich bruuch e chli guidance
"chasch mir das vormache, bitte?",negativ,hilfe_bitten,True,chasch mir das vormache bitte
ich han paar frage – hesch kurz zeit?,negativ,hilfe_bitten,True,ich han paar frage hesch kurz zeit
"ich versuech s, aber ich schnapp s nöd",negativ,hilfe_bitten,True,ich versuech s aber ich schnapp s ned
"wär mega, wenn du mir da chönntisch ushelfe",negativ,hilfe_bitten,True,waer mega wenn du mir da choenntisch ushelfe
"ich bi überforderet, chasch es mir erläuterä?",negativ,hilfe_bitten,True,ich bi ueberforderet chasch es mir erlaeuterae
"ich weiss nöd, öb ich s richtig mache",negativ,hilfe_bitten,True,ich weiss noed oeb ich s richtig mache
chöntisch mir e beispiel geh?,negativ,hilfe_bitten,True,choentisch mir e beispiel geh
"ich würd s gern checke, aber mir fehlt dä überblick",negativ,hilfe_bitten,True,ich wuerd s gern checke aber mir fehlt dae ueberblick
chasch mir s grob zämäfasse?,negativ,hilfe_bitten,True,chasch mir s grob zaemaefasse
"ich bi unsicher, chasch du drüber luege?",negativ,hilfe_bitten,True,ich bi unsicher chasch du drueber luege
ich bruch nur es chli unterstützig,negativ,hilfe_bitten,True,ich bruch nur es chli unterstuetzig
chasch mir s laufe kurz erklärä?,negativ,hilfe_bitten,True,chasch mir s laufe kurz erklaerae
