user_text,user_text_clean,label,intent,answer_mundart,needs_review,is_seed
wänn söll ich dir d details schicke?,waenn soell ich dir d details schicke,neutral,orga,"Klingt guet. Säg eifach, was dir am beschte passt, denn chömer s so abmache.",True,False
"ich find s fair, aber chli streng i dere form mached mer so imfall",ich find s fair aber chli streng i dere form mached mer so im fall,neutral,feedback_sachlich,"Danke fürs sachlich feedback. Das hilft, s besser iigschätze z chönne.",True,False
"ich weiss nöd, was s nächschti isch, hesch en tipp? zum verseckä",ich weiss noed was s naechschti isch hesch en tipp zum verseckae,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
ich bi komplett müed so en scheiss,ich bi komplett mueed so en scheiss,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,False
"ich frag mi die ganz zit, öb ich das würklich cha so en scheiss",ich frag mi die ganz zit oeb ich das wuerklich chan so en scheiss,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,False
ich bi extrem froh um mini fründschaftä,ich bi extrem froh um mini fruendschaftae,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,False
ich fühl mi grad voll ufgnoh i dere gruppe bis spöter,ich fuehl mi grad voll ufgnoh i dere gruppe bis spoeter,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,False
ich ha lang sorgä gha und jetzt isch s doch solid cho vo härze her guet,ich ha lang sorgae gha und jetzt isch s doch solid cho vo haerze her guet,positiv,erleichterung,"Guet z ghöre, dass s sich jetzt leichter aafühlt. Was hät dir am meiste gholfe?",True,False
ich ha wieder aagfange meh z läse bis spöter,ich ha wieder aagfange meh z laese bis spoeter,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,False
"ich probier Schritt für Schritt öppis z verändere, nöd alles uf einisch",ich probier schritt fuer schritt oeppis z veraendere ned alles uf einisch,neutral,planung_langfristig,"Okay, denn chömer gern zäme luege, wie mer das langfristig cha aagle.",True,True
"ich ha s gfühl, das wird öppis schöns schöns wucheend",ich ha s gfuehl das wird oeppis schoens schoens wucheend,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
"mer lueged, was sich ergit für s erscht mal guet",mer lueged was sich ergit fuer s erscht mal guet,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,False
du hesch das super umegsetzt so geil,du hesch das super umegsetzt so geil,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,False
"hallo du, es het wieder es update zue dere sach geh",hallo du es het wieder es update zue dere sach go,neutral,news_teilen,"Danke fürs teile. Spannend, was grad alles lauft.",True,False
ich mach mer sorgä um mini gsundheit,ich mach mer sorgae um mini gsundheit,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,True
"hey, ich find s fair, aber chli streng i dere form",hey ich find s fair aber chli streng i dere form,neutral,feedback_sachlich,"Danke fürs sachlich feedback. Das hilft, s besser iigschätze z chönne.",True,False
ich chum nöd drus mit däm update bis spöter,ich chum ned drus mit daem update bis spoeter,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
keim nimmt das richtig ernst zum verseckä,keim nimmt das richtig ernst zum verseckae,negativ,beschwerde,"Das tönt würklich müehsam. Erzähl gern no chli meh, was genau di stört.",True,False
mini agenda isch voll und ich ha kei luft meh gopfriedstutz,mini agenda isch voll und ich ha kei luft meh gopfriedstutz,negativ,stress_alltag,"Alltag cha schnell z vil wärde. Womit fangemer am beschte aa, zum s chli z ordne?",True,False
"ich frag mi die ganz zit, öb ich das würklich cha",ich frag mi die ganz zit oeb ich das wuerklich chan,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,True
"sali, ich bruch nur chli hilf, zum das technisch wieder zum laufe bringe",sali ich bruch nur chli hilf zum das technisch wieder zum laufe bringe,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
hesch erfahrig mit dem gha?,hesch erfahrig mit dem gha,neutral,frage_info,Gueti frog. Ich versuech s dir möglichst eifach z erläuterä.,True,False
"mini app spinnt scho wieder und ich weiss nöd, wieso",mini app spinnt scho wieder und ich weiss noed wieso,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
"ich gib dir wieder bschaid, sobald öppis neus isch schöns wucheend",ich gib dir wieder bschaid sobald oeppis neus isch schoens wucheend,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,False
"chan s au spöter i de wuche sii, wenn s nöd passt? mal gseh",chan s au spoeter i de wuche sii wenn s ned passt mal gseh,neutral,orga,"Klingt guet. Säg eifach, was dir am beschte passt, denn chömer s so abmache.",True,False
ich bi jede tag nur am rennä,ich bi jede tag nur am rennae,negativ,stress_alltag,"Alltag cha schnell z vil wärde. Womit fangemer am beschte aa, zum s chli z ordne?",True,False
"ich weiss no nöd genau, wohi, aber ich wott chli struktur ine bringe",ich weiss no ned genau wohi aber ich wott chli struktur ine bringe,neutral,planung_langfristig,"Okay, denn chömer gern zäme luege, wie mer das langfristig cha aagle.",True,False
ich bi grad wieder vil am gamä i minere freizit,ich bi grad wieder vil am gamae i minere freizit,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,False
"jo, mir chönd s spontan entscheide mach s guet",jo mir choend s spontan entscheide mach s guet,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,False
ich ha grad es interessants artikel glese über das thema schöns wucheend,ich ha grad es interessants artikel glese ueber das thema schoens wucheend,neutral,news_teilen,"Danke fürs teile. Spannend, was grad alles lauft.",True,False
ich zähl fasch d tägli bis dr tag chunnt eifach stark,ich zaehl fasch d taegli bis dr tag chunnt eifach stark,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
